ID,USO,TIPO_ARMA,MARCA,CALIBRE,FORCA,NUMERACAO_ARMA,FABRICACAO,QUALIFICACAO,RELACAO,AMBIENTE,DATA_HORA_FATO,ANO_FATO,MES_FATO,MES_FATO_TEXTO,DIA_FATO,DIA_SEMANA_FATO,HORA_FATO,TURNO,CIDADE_FATO,BAIRRO_FATO,ENDERECO_FATO,PT_REF_FATO,RISP,AISP,LONGITUDE,LATITUDE
39956,PERMITIDO,ESPINGARDA,NI,12,PM,,NI,PORTE ILEGAL,Apreendida,Via Pública,01/01/2022 20:00:00,2022,1,Jan,1,Sáb,20,Noite,Arapiraca,Manoel Teles,RUA MANOEL LEAL-PRÓXIMO AO COLÉGIO CRISPINIANO.,SEM INFORMAÇÃO,3ª RISP,16ª AISP,"-36,669077","-9,75862"
39991,PERMITIDO,ESPINGARDA,NI,20,PM,,NI,PORTE ILEGAL,Apreendida,Via Pública,02/01/2022 18:00:00,2022,1,Jan,2,Dom,18,Noite,Satuba,Centro,RUA JOSÉ ISABEL-AO LADO DO POSTO IPIRANGA,AUTOPOSTO YPIRANGA,1ª RISP,09ª AISP,"-35,824299","-9,570843"
39994,PERMITIDO,REVOLVER,TAURUS,38,PM,43999,NACIONAL,PORTE ILEGAL,Apreendida,,02/01/2022 21:55:00,2022,1,Jan,2,Dom,21,Noite,Feira Grande,Zona Rural,APÓS VILA PADRE CÍCERO,POVOADO TABOCA,3ª RISP,21ª AISP,"-36,675187","-9,836982"
39995,PERMITIDO,PISTOLA,TAURUS,380,PM,KBV68957,NACIONAL,PORTE ILEGAL,Apreendida,,02/01/2022 23:34:00,2022,1,Jan,2,Dom,23,Noite,Maragogi,Centro,AVENIDA RUI PALMEIRA,,2ª RISP,15ª AISP,"-35,223444","-9,017636"
39996,PERMITIDO,REVOLVER,NI,32,PM,25287,NI,PORTE ILEGAL,Apreendida,,03/01/2022 11:26:00,2022,1,Jan,3,Seg,11,Manhã,São Miguel dos Campos,Zona Rural,ESTRADA USINA CAETE,CALDO DE CANA DO BETO,3ª RISP,20ª AISP,"-36,084204","-9,779505"
40000,PERMITIDO,REVOLVER,NI,38,PM,1348946,NI,PORTE ILEGAL,Apreendida,Residência,03/01/2022 20:00:00,2022,1,Jan,3,Seg,20,Noite,Senador Rui Palmeira,Centro,RUA JOSÉ GUILHERME,SEM INFORMAÇÃO,4ª RISP,25ª AISP,"-37,456992","-9,467592"
39997,PERMITIDO,REVOLVER,TAURUS,32,PM,602154,NACIONAL,PORTE ILEGAL,Apreendida,,03/01/2022 20:12:00,2022,1,Jan,3,Seg,20,Noite,Santana do Ipanema,Centro,RUA CORONEL LUCENA MARANHÃO,,4ª RISP,23ª AISP,"-37,245263","-9,372441"
40001,PERMITIDO,REVOLVER,TAURUS,38,PM,BB89663,NACIONAL,PORTE ILEGAL,Apreendida,,04/01/2022 17:44:00,2022,1,Jan,4,Ter,17,Tarde,Maceió,Benedito Bentes,"RUA NOVO HORIZONTE, 215",BAR DO MAGO,1ª RISP,06ª AISP,"-35,73143","-9,555348"
40002,PERMITIDO,REVOLVER,TAURUS,32,PM,384355,NACIONAL,PORTE ILEGAL,Apreendida,,04/01/2022 19:54:00,2022,1,Jan,4,Ter,19,Noite,Maceió,Levada,PROXIMO AO BECO DO PACOTE,,1ª RISP,02ª AISP,"-35,745439","-9,655625"
40003,PERMITIDO,REVOLVER,NI,32,PM,,NI,DESOVA,Apreendida,,04/01/2022 22:48:00,2022,1,Jan,4,Ter,22,Noite,Capela,Centro,RUA DOUTOR HORACIO G DE MELO,,2ª RISP,13ª AISP,"-36,075913","-9,412991"
