ID,TIPO_DROGA,UNIDADE_MEDIDA,QTDE_DROGA,QUALIFICACAO,AMBIENTE,DATA_HORA_FATO,ANO_FATO,MES_FATO,MES_FATO_TEXTO,DIA_FATO,DIA_SEMANA_FATO,HORA_FATO,TURNO,CIDADE_FATO,BAIRRO_FATO,ENDERECO_FATO,PT_REF_FATO,RISP,AISP,LONGITUDE,LATITUDE
37451,CRACK,GRAMA,50,TRÁFICO,,01/01/2022 11:00:00,2022,1,Jan,1,Sáb,11,Manhã,Porto Calvo,Centro,CONJ. OSCAR CUNHA-RUA DO MERCADO DA GALEGA,NA PORTA DE SUA CASA,2ª RISP,15ª AISP,"-35,415018","-9,050077"
37457,MACONHA,GRAMA,4,POSSE/USO,,01/01/2022 15:00:00,2022,1,Jan,1,Sáb,15,Tarde,Piaçabuçu,Zona Rural,POVOADO PONTAL DO PEBA,SEM INFORMAÇÃO,3ª RISP,19ª AISP,"-36,301112","-10,349932"
37459,CRACK,GRAMA,1,POSSE/USO,,01/01/2022 15:00:00,2022,1,Jan,1,Sáb,15,Tarde,Piaçabuçu,Zona Rural,POVOADO PONTAL DO PEBA,SEM INFORMAÇÃO,3ª RISP,19ª AISP,"-36,301112","-10,349932"
37455,COCAINA,GRAMA,1,POSSE/USO,,01/01/2022 15:00:00,2022,1,Jan,1,Sáb,15,Tarde,Piaçabuçu,Zona Rural,POVOADO PONTAL DO PEBA,SEM INFORMAÇÃO,3ª RISP,19ª AISP,"-36,301112","-10,349932"
37453,MACONHA,GRAMA,20,TRÁFICO,,01/01/2022 18:00:00,2022,1,Jan,1,Sáb,18,Noite,Maceió,Jacintinho,AV. JUCA SAMPAIO-NOS PRÉDIOS DO REGINALDO,SEM INFORMAÇÃO,1ª RISP,05ª AISP,"-35,715725","-9,633881"
37463,MACONHA,GRAMA,40,TRÁFICO,,03/01/2022 20:12:00,2022,1,Jan,3,Seg,20,Noite,Santana do Ipanema,Centro,RUA CORONEL LUCENA MARANHÃO,,4ª RISP,23ª AISP,"-37,245265","-9,372455"
37467,CRACK,GRAMA,3,TRÁFICO,,04/01/2022 10:00:00,2022,1,Jan,4,Ter,10,Manhã,Maceió,Tabuleiro do Martins,AV. DURVAL DE GOES MONTEIRO-EM FRENTE À FACULDADE RAIMUNDO MARINHO,EM FRENTE À FACULDADE RAIMUNDO MARINHO,1ª RISP,08ª AISP,"-35,76871","-9,578946"
37469,COCAINA,GRAMA,38,TRÁFICO,,04/01/2022 10:00:00,2022,1,Jan,4,Ter,10,Manhã,Maceió,Tabuleiro do Martins,AV. DURVAL DE GOES MONTEIRO-EM FRENTE À FACULDADE RAIMUNDO MARINHO,EM FRENTE À FACULDADE RAIMUNDO MARINHO,1ª RISP,08ª AISP,"-35,76871","-9,578946"
37475,MACONHA,GRAMA,25,,,04/01/2022 15:02:00,2022,1,Jan,4,Ter,15,Tarde,Barra de Santo Antônio,Zona Rural,FAZENDA NOSSA SENHORA DE LURDES,,1ª RISP,11ª AISP,"-35,522963","-9,418954"
37473,CRACK,GRAMA,3,,,04/01/2022 15:02:00,2022,1,Jan,4,Ter,15,Tarde,Barra de Santo Antônio,Zona Rural,FAZENDA NOSSA SENHORA DE LURDES,,1ª RISP,11ª AISP,"-35,522963","-9,418954"
